Machine_ID,RPM,Temperature_C,Vibration_mm_s,Oil_Quality_Index,Pressure_bar,Shaft_Misalignment_deg,Noise_dB,Load_%,Ambient_Temp_C,Humidity_%,Power_kW,Maintenance_Score,Operating_Hours,Fault
M4,1521,77.98752908,1.632913101,65.21294287,6.146027575,0.466323016,65.44768292,71.62796618,17.51383803,50.15392329,51.86826703,8,6566,0
M5,1645,67.4820895,2.040997778,75.73767353,2.162493559,0.434797501,71.82703886,84.9503031,28.63255811,28.281687,48.6871217,7,8913,0
M3,1596,70.73642404,2.228640202,97.92144293,4.983389658,0.578073239,52.80639949,56.8703147,28.46853056,50.27060427,56.40691699,6,5190,0
M5,1544,86.48445709,2.727911161,93.41970781,4.894181243,0.469218955,58.87368679,73.93975226,32.92247188,33.5212771,40.55148258,2,4340,1
M5,1341,76.13270411,2.35225327,59.40710823,4.546363612,0.435922988,48.1078417,61.97728166,21.04991452,43.62449882,47.89434883,6,9112,0
M2,1594,60.61722022,2.394528344,85.27219851,6.726226546,0.144120214,60.96325766,64.95366258,28.46407605,34.90106047,52.23965366,2,511,0
M3,1876,84.19228935,2.041913314,50.32662126,4.112670541,0.312006434,61.82697121,61.96889166,23.58146636,41.82170628,52.28612406,1,8405,0
M3,1769,68.31855914,2.705229573,80.70402353,5.771796177,0.595330208,59.80418942,62.68142692,30.95237493,48.91877635,56.76379515,9,2546,0
M3,1818,93.73297776,2.204881398,108.4665053,5.356252789,0.843181526,56.72733215,97.21912148,30.10981388,27.72985923,55.99112697,5,3446,0
M5,1397,85.80048066,1.569456045,65.78160924,6.261519253,0.480494923,49.75242742,78.44455872,26.056047,33.20094103,48.57229187,10,185,0
M4,1302,70.52678104,2.701684985,67.48515432,4.332810915,0.565562215,61.86766842,81.01737862,23.30234922,41.84962587,56.49935622,10,7849,1
M3,1474,87.81016362,2.348951636,91.46044672,4.267031101,0.690495631,67.27717242,74.91993487,29.80466089,64.01583661,46.42979128,4,4242,0
M5,1511,75.67855511,1.778477989,56.85797727,6.096069907,0.337821213,57.04490772,53.93743212,28.23452262,31.36810288,54.65443691,8,7187,0
M2,1718,83.52773675,1.760253516,70.50867455,5.425321308,0.573362809,62.20029965,73.9495797,21.57779799,60.40133886,59.05261239,5,7468,0
M4,1161,79.84732817,2.148287773,88.94661706,3.455062653,0.351901979,52.15927843,80.72929615,18.36100663,60.04423304,56.07472053,7,9864,0
M2,1805,66.53643345,2.231592398,70.48571228,4.460694986,0.672964888,62.28606532,61.46600526,23.5573355,39.02688849,50.52885192,3,5934,0
M4,1468,68.56450168,2.098646133,76.46045019,5.386382654,0.53028061,58.03308851,79.65326667,32.57706908,37.01847474,48.34110614,8,903,0
M5,1414,85.29960818,2.155654337,91.16278565,5.837764222,0.559690363,56.18791025,77.0433621,30.73243579,33.07934801,42.35704352,8,6819,0
M1,1297,71.65224668,2.849978687,86.32319125,4.320769347,0.343480281,56.19818179,88.52040045,19.43836265,39.3179747,51.55269819,3,6185,0
M4,1169,70.96351537,2.535771576,84.00227594,2.08574401,0.641406472,58.03194209,65.82216987,19.16121292,25.93280567,44.42391386,9,9361,0
M2,1664,65.44877421,2.095317796,74.91316581,5.523223186,0.916942584,61.91216658,59.02389018,31.37341925,39.23760983,46.03432668,8,4282,0
M5,1514,79.23599066,2.47065529,85.55091673,3.77967931,0.298417661,53.43918399,66.38371891,19.32182048,54.96880274,44.046271,1,9700,0
M4,1242,95.62524919,1.483738048,78.1440098,2.982661202,0.432048198,58.01442334,84.35570993,27.54647662,33.88914938,47.69803834,8,364,0
M1,1240,64.32467086,2.198963525,86.86708415,2.167674075,0.546321495,59.79264111,51.71594119,21.91964392,37.59275696,49.86015293,4,3193,0
M1,1432,75.24219457,2.904653175,72.54601962,5.81398086,0.657281242,54.50480388,49.31624285,33.08522462,22.98859526,51.36807291,6,4898,0
M3,1833,89.12220555,1.890977052,77.26146538,5.12861745,0.388090743,68.98332601,70.89395279,21.147876,43.74062088,46.99746682,10,9765,0
M3,1448,74.20358609,1.576183036,65.15063311,4.774343619,-0.066606058,55.7325226,65.57410707,30.71680765,42.64481685,55.34641853,9,8243,0
M2,1199,79.52371796,1.673955556,79.47488585,6.389024363,0.771837899,56.65281543,70.07727893,25.92429327,40.6370236,48.95897371,5,425,0
M4,1450,64.37606472,1.455183481,67.83498705,5.637324683,0.652101224,55.10846025,79.45311771,26.26097427,37.8317295,46.06138783,7,1306,0
M4,1445,79.28307097,1.607619046,63.28930325,6.616300043,0.151410494,68.99240044,64.47430654,15.14845709,37.07242081,51.13146134,1,9796,0
M3,960,73.12855735,1.814745951,83.87991722,3.607264528,0.378486242,62.76452614,51.26994169,13.98543323,45.01900234,59.81776417,9,1540,0
M4,1489,84.85729996,1.29721649,83.19109664,4.965449376,0.813636486,55.31703997,90.44481557,23.8971703,39.71183398,51.67580283,6,5284,0
M4,1453,86.87386052,2.007809167,91.74310602,3.383286625,0.789559284,65.53115779,60.02771713,26.23453032,43.14971872,48.18572186,4,9247,0
